ID,System/Slice,Item,What parity requires,Current Everkai status,Source of truth,Numbers-or-Flow,Effort,Priority,Sprint,Status,Notes/Evidence
D3,Stage,Goals,"Chapter Goal (per-chapter objectives), Seven-Day Goals (18), Billionaire Goals (50, village-earnings targets), Family Goal (32)",PARTIAL - 11 local Journey milestones plus the 136-task opening; not the original chains. Every count this row carried was wrong; corrected below.,ChapterTarget.json (18) + TaskGeneral moduleId ChapterTarget (62); SevenDaysGoal.json (7) + SevenDaysGoalReward.json (4) + moduleId SevenDaysGoalTask (108); moduleId MillionGoal (15) and RichManTask (40); WifeTarget.json (10),Numbers,M,P3,6,Measured - not implemented 2026-09-15; four source counts corrected,"[COUNTS CORRECTED 2026-09-15] All four numbers in this row were wrong. MEASURED: (1) Chapter Goal = ChapterTarget.json 18 tiers, each naming taskGroup1/taskGroup2 ids whose 62 real rows live in TaskGeneral.json under moduleId ChapterTarget (sample req: PlayerTotalProsperity count 50), plus extraProp/extraReward per tier. (2) Seven-Day Goals are NOT 18: SevenDaysGoal.json has 7 rows (one per day), the tasks are moduleId SevenDaysGoalTask with 108 rows, and SevenDaysGoalReward.json has 4 cumulative tiers at 45/.../230 Item_Activity_SevenDaysGoal points. (3) Billionaire Goals are NOT 50 and 'MillionGoal' is not a file -- MillionGoal.json is ABSENT; the rows are moduleId MillionGoal (15) in TaskGeneral.json, and the adjacent moduleId RichManTask has 40. So 15 + 40, not 50. Another empty-wrapper/wrong-place instance. (4) Family Goal is NOT 32: WifeTarget.json has exactly 10 rows, as this row's own Source column already said. First row condition is MovingLevelId 2-100, last is ChildAdult count 500. Billionaire Goals remain meaningful only after SL1-01 (village-earnings targets). Family Goal gates on MovingLevelId, so it shares A5's dependency."
D4,Stage,Player Rank,"Fame (from stages, roaming, Fame Cards) raises rank; rank gates systems, energy and stamina caps and education methods; rank rewards; 70 rank names",PARTIAL — rank = 1 + floor(EXP/100); not Fame and not the original thresholds,Level (70 rows),Numbers,M,P2,6,Fixed 2026-09-14 (35a4e7c),"FIXED. Player rank ladder to 28 from Level.json/CityAssignEvent with the 22 owner-confirmed rank-up Fellows; Fame comes from stages, roaming and habits; promotion needs Fame and the earnings requirement. | [NOT RE-VERIFIED] Roaming's Fame output (B8) has nowhere to go until this exists. Rank rewards such as Reward_Appearance_Avatar_1 exist in opening-data.json and are unimplemented."
D5,Stage,Main story / story missions,Story missions gate the Inn (SystemUnlock 11); plot recaps; Family/Fellow city encounter scenes,"PARTIAL - Village Stories replay 36 encounters; 136 of the original's 4,445 main tasks exist. The Inn gate is satisfiable today.",MainTaskInfo (much of it is unreadable 'Momoca' placeholder text),Flow,M,P2,6,Measured - not implemented 2026-09-15; the 'two gaps are one gap' claim is false,"[CORRECTED 2026-09-15] This row said 'Everkai's campaign stops at chapter 6 and B3 is ABSENT: those two gaps are one gap'. BOTH halves fail. The campaign no longer stops at chapter 6 -- the stage ladder is 63,000 stages over 3,000 chapters (see D1). And the two gaps are not one gap: walking the 4,445-task chain, the FIRST MovingLevelId requirement is at chain index 224 (Main_task_002410, order 250, id '1-10'), which is 85 tasks past the 139-task point where Everkai's existing requirement handlers stop. There are 173 MovingLevelId tasks on the chain in total, so Drakenberg does gate the chain eventually -- just nowhere near chapter 6. The server REJECT 'Quest requirement not implemented: MovingLevelId' is real but is evidence about order-250 content, not about the opening. VERIFIED: SystemUnlock 11 (Inn) = MainTask Main_task_0030, the third task in the chain and well inside the 136 already imported, so the Inn story gate needs no new data. DEFERRED, REASON: the substantive work here is the chain import specced in D1, which belongs in scripts/ (off limits this pass). MainTaskInfo.json holds 96 rows and much of its text is the unreadable 'Momoca' placeholder, so plot recaps stay blocked on text, not on structure."
E1,Minigames,Fishing — core,"Kaity produces bait continuously up to a storage cap; Fishing EXP raises Fishing Level which improves technique and unlocks grounds; 4 areas and 11 FishSpot spots; antiques (FishArtifact, 17) and a treasure-map-fragment chain to the Crystal Shell quest; 5 fish tanks with fixed positions; duplicates go to the basket for research; titles for completing spots","PARTIAL — cast with bait across 11 grounds, immutable catch snapshots, tank display activating each species effect for 86 of 87 species (35 flat Power, 15 % Power, 36 Aptitude), duplicate research to skill level 3, one guaranteed Gold Crown Kohaku, 22 of 34 combinations, baked art for all 87 fish. Maturity label: limited.","rule SimGame4Main; FishSpot (11), FishArtifact (17); SystemUnlock 78/82","NUMBERS, decisively",L,P2,4,Not started,"2026-09-15: casts now follow the original draw (2014458): FishLevel rarity weights by fishing level, grounds gated at FishSpot level, 10 fishing EXP per catch -- the round-robin note above is superseded. Bait production, antiques, tanks and lengths remain missing. | [UNCHANGED] Casts are a deterministic round-robin — there is no minigame. Missing Fishing Level, bait production, antiques/Crystal Shell, per-tank slots, length records. THE SERVER CANNOT ANSWER ANY OF IT: it uses 'private uniform selection' within configured rarity groups and automatic catches with no timing circle, so its catch minigame is not even the real one. Read FishSpot/FishArtifact/SimGame4Book/FishBP. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E2,Minigames,"Fishing — Encyclopedia, crowns, combinations",Encyclopedia records first catch and MAX LENGTH with length rewards; Gold Crown fish can be crowned for Crown Skills; Chihaya's research of duplicates gives Research Points and Gold Crown Points; antique skills upgrade with Pearls/Black Pearls; 34 combinations and crown combinations cannot be upgraded; the Museum Aquarium hall shows fishing progress,"PARTIAL — research, 22 of 34 normal combinations, one crown grant","rules SimGame4Book, MuseumHall4, FishBP",NUMBERS,M,P2,4,Not started,"[UNCHANGED] Missing crown odds, Crown Points, the whole length system, antique skills and crown combinations. Crown skill upgrades are REFUSED server-side too ('Special fishing skill requires its own system', 9 REJECTs) — a REJECT means the system is absent there as well, so it cannot be observed at any effort level. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E3,Minigames,Treasure Hunt (SimGame5/Relic),"Ruin sites across Drakenberg and Northrealm; Steeltooth digs using its own Stamina (150/day, cap 300); stones become Steeltooth EXP raising max hardness, fullness, attack method (bombs) and ATK; gemstone appraisal reveals Museum exhibits; duplicates become upgrade material; Treasure Cave, ruin guards, treasure-hunter encounters","PARTIAL bordering SHELL — 4 areas, 45 relics with community appraisal weights, Steeltooth level gates, 12 stamina per UTC day with free refill, a 12-tile dig board where every third tile holds a gem, return for gems and EXP, appraisal to relic, duplicates to materials, donate/display, optional restoration at +1 gold/s per level up to 20. Maturity label: limited ('dig pattern is fixed').","rules SimGame5, RelicBP, RelicLottery; SystemUnlock 115","FLOW only, emphatically",M,P2,4,Not started,"[UNCHANGED] THE DIG BOARD IS A FIXED PATTERN — radar, board randomness and tools are absent. Server is WORKING (sg5_open_ball 13, _save_position 11, _record_grid 9, _dig_ball 8, _open_new_map 6, _melt_stone 3, _sweep_map 2) and gives the real dig/return/appraise/donate sequence and Quick Sweep screen — but its layouts are 'deterministic private layouts' with 'simplified' rewards, so randomness must come from SimGame5/RelicLottery. Steeltooth skill-tree fidelity is unknown. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E4,Minigames,Museum,"Donate exhibits to 7 halls (Private, Honor Room, Main, Aquarium, Antiquities, Naturalism, Hall of Memories); exhibits have skills with level and/or star upgrades and awakening; bonuses persist even when removed from display; Museum Score to Rating drives tasks and operation efficiency; Museum Operation earns Informed Coins hourly into a capped Coin Box; catalog; Honor Record","SHELL/PARTIAL — Hall 1 only, 31 keepsakes (6 with numeric bonuses: Aptitude or Power %), accept separate from display, free collection. Maturity label: limited ('31 keepsakes; Hall 1 only').","rules Museum, MuseumBook, MuseumHall1-7; Exhibit (137 rows); SystemUnlock 101/103/118",FLOW for hall structure and the accept-vs-display split; NUMBERS for stacking and effect ordering,L,P2,6,Not started,"[UNCHANGED] NOTE A COUNT DISCREPANCY: parity-gaps.md says 32 keepsakes, system-maturity.json and the code say 31. Trust 31. Server WORKING: museum_exhibit_display 15, _activate 15, _gain_pass 9, _get_management_reward 2, _upgrade_level 1 (Golden Mural advanced level 1 to 2 with a visible power change). Awakening is unimplemented server-side too. Duplicate-to-1000-Crystals conversion is in the item text but unimplemented. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E5,Familiars,Familiar exploration and contracts,"Explore areas for 1 Stamina each, Energy Drinks refill; events and explore items; wild monsters need contract items with grade-based success; each attempt raises Alertness until the monster flees; Ordinary Mochi lowers Alertness; tower floors unlock new areas",ABSENT — familiars are granted freely,"rules Pet, PetExplore; PetCatchItem (per-rarity catch probabilities N 7000 / R 1000 / SR 720 / SSR 310 at grade 1); SystemUnlock 129",FLOW (success rates are NUMBERS from PetExplore/Pet),L,P1,6,Not started,"2026-09-15 NOT IMPLEMENTED (out of budget after E10), but the acquisition currency is now located and it is the SAME one E10 found: every familiar in the original is bought with Item_Owner_Pet_<id> / Item_Owner_Pet_SP_<id> / Item_Owner_PetPiece_<id> (Pet.json), and Item_Owner_PetPiece_* is exactly what the Familiar Dispatch Great Success pools (Reward_PetDispatch_Add_n_k, 1-3 pools per area, 100% fragments) pay out. So the designed source this row asks for already exists in the data and does not have to be invented: model a fragment item, have Dispatch and Explore pay it, and E5 + ECON-11 unblock together. Also measured tonight for whoever picks this up: PetArea 3 areas (unlock 0/100/?; cost 1 stamina; EventPool weights PetCatch 4000 / PetExploreItem 5000 / PetExploreLottery 1000; each area lists its own ~25-pet Pet[] and an unspokenRules map of forced first encounters by step). PetCatchItem 3 grades with Alert [30,40] and N/R/SR/SSR 7000/1000/720/310, 10000/8000/4000/1000, and grade 3. System: PetExploreEnergy Item_PetExploreEnergy, Initial 20, Max 20 (BP 50), Time 5400s = 90 min per point (BP 3600s), PetExploreAutoUnlock 30, PetCatchSkip 10, PetTrapOpen 10, PetTrap weights per assign item, PetAssistItem Item_PetPacify1 x30 with PetAssistItemUseMax 3 (the Alertness-lowering Mochi). PetExploreItem 15 rows and PetExploreLottery 5 rows carry the event and lottery tables. | [PRIOR] [NOT RE-VERIFIED] #1 BY VALUE ON THE OBSERVATION RANKING. Everkai has NO familiar acquisition at all, and the backlog says this 'needs a designed source, not just a removed button'. The server gives exactly that loop, WORKING: pet_auto_explore 37, pet_exploreCatch 9, pet_trap 6, pet_oneExplore 2, pet_switchArea 2, pet_exploreItem 1, _recordWindow 2, _record 3."
E6,Familiars,Familiar development and binding,"Cool/Cute/Playful/Legendary types; Attacker/Tank/Support roles; 9 attributes (CRIT 150%, block reduces damage by 1/3); level with Magical Fruit unlocking bonus nodes; grade ascension with Familiar Crystal raises the level cap and unlocks skills; stars from fragments unlock nodes and an awakened appearance at high stars; activated nodes buff the bound Fellow; Progress Reversion refunds materials","PRESENT for the Cost ladders — 71 profiles, 499 level rows, 10 stages, 100 stars, 199 level/star nodes per rarity group, one-to-one Fellow binding, inherent bonuses feeding Power. Training is NOT free: every level charges PetLevel.Cost, every stage PetClass.Cost and every star PetStar.Cost, paid in the original Item_PetLevelUP / Item_PetClassUP. Still missing: Progress Reversion.","rule PetDevelop; Pet, PetStar (Cost)",Numbers,M,P2,6,"Fixed 2026-09-15 - ladders verified exact, no drift","2026-09-15 VERIFIED AGAINST configs/config/logic, 0 mismatches: all 499 PetLevel rows (Cost/ATKcoef/HPcoef/SPDadd), all 10 PetClass rows (Cost/LevelMax/ATKcoef/HPcoef/SPDadd) and all 100 PetStar rows (Cost/ATKcoef/HPcoef) match lib/familiar-data.json field for field. Totals: 626,190 level-up items and 44,300 class-up items to take one familiar 1->499, 5,000 more for 100 stars. The row text above saying ""All training is FREE"" was STALE - ECON-29 (e51f394) already charges all three ladders. POSITIVE CONTROL on the stat import: the original Pet.json five strongest familiars score 86,130 Power at level 1, 6,671,778 at max level and 27,680,957 fully maxed, and Everkai wiki-sourced base stats score the IDENTICAL three numbers, so the bases are not drifting from the APK either. Genuinely still missing: Progress Reversion (no refund table found). Star cost is charged in class-up items - a LOCAL choice, because PetStar.Cost names no item in any of the 1,499 tables (positive control: Wife 33 / City 15 / SimGame3 21 returned before the claim). | [PRIOR] [NOT RE-VERIFIED] Missing material costs, ascension items and reversion. Growth and binding flows are solid server-side (5 routes were 999 on Sep 9 and all were fixed by Sep 10)."
E7,Familiars,Familiar Metamorphosis,"Three Metamorphixir grades roll bonus attributes (Power, Aptitude, Power %, Aptitude %) in N-UR grades; slots SSR 1 / SSR+ 2 / UR 3 unlocked by stars; slots can be locked and each lock raises the cost",ABSENT,rule PetRefresh,Flow,M,P2,6,Measured - not implemented,"2026-09-15 FULLY MEASURED, ready to build - no further research needed. PetRefreshItem.json is the ONLY dedicated table (positive control: grep for PetRefresh hits 10 files incl. Item/Rule/System, so the search works; there is no PetRefresh.json). 3 grades, named in lang.json: Item_PetRefresh1 ""Basic Metamorphose"", Item_PetRefresh2 ""Refined"", Item_PetRefresh3 ""Purified"". Cost/Cost1/Cost2 = 1/2/3 items, which is the lock ladder - PetGuideTips22: ""Lock the slot of desired bonus and future Metamorphosis only randomize the unlocked slots. Cost of Metamorphosis increases with more slots locked."" Roll Scope per grade (prop, type, min, max), the four props identified BY MAGNITUDE against the catalogue wording, not by assuming they are PetAttr ids: prop1 add = Power, prop2 add = Aptitude, prop3 percent = Power %, prop4 percent = Aptitude %. Basic: Power 50,000-4,000,000; Aptitude 2-200; Power% 300-24000 (3%-240%). Refined: Power 2,500,000-4,000,000; Aptitude 125-200; Power% 15000-24000; Aptitude% 500-800 (5%-8%). Purified: Aptitude 187-250; Power% 22500-30000; Aptitude% 750-1000 - NOTE Purified drops the flat-Power prop entirely. Up to 3 slots (lang CloudKingdomPetAd_desc_2 ""Up to 3 Metamorphosis slots""), unlocked by star level (PetDetailStarUnlockSlotTip ""Reach star lv. {star} to unlock new Metamorphosis slots""); the per-rarity star thresholds are NOT in PetRefreshItem or System and still need locating. Keep-or-discard is confirmed by lang PetDetailEvolveBetterTip, which matches the server REJECT quoted below. The ""N-UR grades"" in the row text are a display band over the rolled value, not a separate weight table. BALANCE WARNING before anyone builds this: 3 slots x up to 4,000,000 flat Power and +240% Power would move the Fellow power ceiling by far more than 20% - this is an owner decision, not a silent ship. | [PRIOR] [UNCHANGED] OBSERVABLE: a server REJECT reads 'Keep or discard the pending Metamorphosis first', which implies the system exists there. Worth a run for the flow only. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E8,Familiars,Familiar Compendium,"New familiars, awakenings, stars and SP versions give Compendium EXP; each level grants rewards plus type-based Fellow Power bonuses",ABSENT,rule PetBook,Numbers,M,P3,6,Not started,"2026-09-15 NOT IMPLEMENTED, but the tables are read so the next agent need not re-derive: PetBookLevel is a 300-row ladder, each row {exp, Reward, PowerCoef:{Country, value}} - row 1 is exp 100, Reward_PetBookLevel_01, PowerCoef {Country 1, value 500}, so the Fellow Power bonus is keyed by the familiar TYPE (""Country"") and 500 is in basis points. EXP sources are measured too: System.NewPetBookEXP and NewPetSPBookEXP give a first-acquisition grant by rarity (rare 1/2/3/4/5/9 -> 10/20/50/100/400/200), and every PetStar row carries its own BookEXP map by rarity (1/2/5/10/40/20 at star 1, constant across all 100 star rows - checked, so the star EXP does NOT scale with star). Needs the Reward_PetBookLevel_* bundles and the Country enum resolved before building. | [PRIOR] [UNCHANGED] Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E9,Familiars,Familiar Tower,"Challenge Mode floors give one-time rewards; Endless Mode unlocks after 200 floors; FLOOR MILESTONES RAISE AN HOURLY EARNINGS EFFICIENCY accruing up to a storage time limit; combat with 1-5 familiars, Speed order, Rage filling from attacks and damage triggering the active skill, 15-round limit then higher remaining HP wins","PARTIAL — 12 authored floors of 200+, up to 5 familiars, front/back rows, combat versions 1-10 with 63 of 71 active kits, 25 P1 passives and Dream Eater P2, rewards are pearls and EXP, frozen replay fixtures","rule PetTower; PetTower / PetTowerArray (1,480 rows)",NUMBERS for floors and enemies,L,P2,6,Partial - idle income verified 2026-09-15 (no drift); floors/combat not started,"2026-09-15 THE ""IDLE TOWER EARNINGS ARE MISSING"" CLAIM IS REFUTED - they ship and they are exact. Verified against configs/config/logic (the supplies importer had read the private-server copy, so this is the first same-source check): lib/familiar-supply-data.json floorIncome equals PetTower.Income at floors 25,50,...,300 element for element - [110,4] [120,5] [130,5] [141,5] [151,6] [162,7] [172,7] [182,7] [184,8] [185,8] [186,8] [187,8]; holdHours 24 equals System.PetTowerIncomeTime; the two items equal System.PetLevelUPItem / PetClassUPItem. What the row calls an ""hourly earnings efficiency"" IS this PetTower.Income pair - checked Funds.json/FundsTask.json and PetFundsID (Funds_PetTower_01..03) is a paid growth fund, NOT a village-earnings multiplier, so there is no second missing earnings hook. Still open and untouched tonight: 12 authored floors of 300, enemy stats, Rage/damage, targeting/ties, first-clear rewards, 8 kits, P2/P3 passives, Endless at 200 (System.PetEndlessTowerOpen = 200). | [PRIOR] [NOT RE-VERIFIED] IDLE TOWER EARNINGS ARE MISSING and they feed village earnings — another input to SL1-01. Enemy stats, Rage/damage, targeting/ties and first-clear rewards are explicitly local. 8 kits and P2/P3 passives missing. The server's own tower combat 'does not yet reproduce the complete retail buff/trigger engine', so read PetTower configs."
E10,Familiars,Familiar Dispatch,Teams of 5 familiars go to areas unlocked by tower floors on timed runs; base Magical Fruit reward plus an attribute-scaled Great Success chance; cancelling forfeits the run,"PRESENT — all 9 areas with their original tower-floor gate, team-Power gate, 20h run and both reward bundles; 5-familiar team, Power from PetAttr weights, Great Success roll, cancel forfeits. lib/familiar-dispatch.mjs + app/familiar-dispatch-panel.tsx.",rule PetDispatch,FLOW for the team/area/timer screen,M,P2,6,Fixed 2026-09-15,"2026-09-15 IMPLEMENTED from configs/config/logic alone - the 999 route was never needed. MEASURED: PetDispatch 9 rows -> TowerLv gates 20/30/50/80/120/160/200/250/300, Power gates 100k/200k/400k/800k/1.6M/3M/5M/10M/20M, Time 20 on every row. split_reward/reward_petdispatch.json (a BARE TOP-LEVEL LIST of 39, not a wrapper) -> base Reward_PetDispatch_Base_n = Item_PetLevelUP x1000n; Great Success Reward_PetDispatch_Add_n = +x200n level-up and, from area 6, 5/10/25/50 class-up. PetAttr.CombatAdd -> Power = ATK x15 + HP x1 + SPD x30. System -> PetDispatch_Crit 3000bp, PetDispatch_Coefficient 0.5, PetDispatch_QuickBuy_MaxTimes 5. lang.json fixes the flow: Text7 floor gate, Text9 needs 5 contracted familiars, Text12 Great Success is EXTRA not instead, Text14 cancelling pays nothing, Text15 chance rises with team attribute. POSITIVE CONTROL that the Power weights are right: original Pet.json five strongest score 86,130 / 6,671,778 / 27,680,957 at level 1 / max level / fully maxed and Everkai scores the same three, so the 100k-20M gate ladder spans exactly this roster - and area 1 is NOT free at level 1 (86,130 < 100,000), which is the pacing. TWO LOCAL ITEMS, marked in the module, the panel and the tests: (1) the unit of Time - the importer asserts it is 20 on all nine rows AND that no other Pet* table or System key holds a dispatch duration, so 20 is the only candidate, but the table does not name its unit; read as HOURS because at 20h area 9 pays ~450 level-up/h against the tower 187/h, while 20min would pay 27,000/h (144x the tower) and fund a whole familiar in under a day, and because the original sells 5 escalating skips a day (200-1000 diamonds), which is only worth selling against a long timer; (2) the Great Success ARITHMETIC - lua-strings/Doc/Pet/PetManager.lua GetBigSuccess reads exactly levelPower, totalPower, crit and coefficient in that order, so the inputs are measured and the expression is not; local rule is 30% at the gate + 0.5 of the surplus ratio, clamped 0-100. NOT MODELLED: the Add_n_k pools are 100% Item_Owner_PetPiece_* familiar fragments and Everkai models no fragment item - the per-area pool count is carried as fragmentPools so the gap stays visible (see ECON-11). Gate mapping ceil(TowerLv/25) onto Everkai 12 floors is LOCAL and matches the supplies importer, so areas 2 and 3 open together. POWER CEILING UNAFFECTED: default-mode ceiling stays 3,026,482 (tests/fellow-power.test.mjs unchanged) - dispatch is an item faucet, not a multiplier, and familiarBonus caps at stage 10 either way. Pacing: at floor 12 it raises level-up income +241% (4,488 -> 17,688/day incl. Great Success) but CLASS-UP is the binding resource and the base reward pays none, so days to max one familiar only falls 231 -> 176 (-24%). | [PRIOR] [UNCHANGED] FIX THEN OBSERVE (one of only two worth it): pet_dispatch_lineup was 1 REQUEST / 1x 999 at the same timestamp and never retried. familiar_explore.py (3 of 3 routes working) is the natural pattern. Low-to-medium effort. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read. | PANEL VERIFIED BY EYE 2026-09-15 (the import left this open): opened at 375x812 on a save with one contracted familiar. The Dispatch tab renders beside Training / Fellow bond / Tower and reads ""Familiar Dispatch - Contract 5 or more familiars to unlock. 1 welcomed."" with its rules link. No render error."
E11,Minigames,Fountain of Wishes,"1 Fairy Bottle per wish, 10 wishes cost 9; an explicit 12-item probability table (Acquaint Stone 0.1% to Basic Earnings Card x10 21.1%); one Fairy released per wish with a milestone reward per 500","PRESENT — the exact 12-entry APK drop table, 1 or 10 wishes, fairy milestone at 1 stone per 500, 20 fragments to 1 stone, 16 Acquaint-Stone recruits, tonic/elixir/candy/card rewards to Bag. Closest system to FULL. Maturity label: limited (12 rewards, 15 characters).","rule Lottery; BaseLottery (12), BaseLotteryExchange (16); SystemUnlock 25","NUMBERS, already held",S,P2,6,Not started,"[UNCHANGED] NOT WORTH OBSERVING — Everkai already holds the exact table. Remaining: bottles come only from a free sandbox grant (see ECON section), and five rewards are unusable because transferable needs an EXTRA_ITEMS id (Advanced Artifact Chest, Farmstead Upgrade Blueprint, Refining Oil, Study Notes, Building Upgrade Blueprint). | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E12,Minigames,Northern Odyssey,"Supplies recover 1 per 60 min; tile-flip exploration; tap monsters and trade HP for damage; signpost to the next floor costs 1 supply; ATK starts from partner strength and HP is fixed, both trained with ATK/HP EXP earned in runs; progress and stage-clear rewards, Northrealm Token lottery, encyclopedia, endless mode, rankings, seasons with buildings (Tavern) and talents","SHELL — supplies 1/hour capped at 12, 3 authored floors of 3x3 tiles, ATK/HP XP training, coins to Basic Earnings Card. Maturity label: early.","rule Dungeon; Dungeon, DungeonSeason (32), DungeonEndlessMap (4,940 rows); SystemUnlock 75",NUMBERS,L,P3,5,Not started,"[UNCHANGED] NO SERVER IMPLEMENTATION WHATSOEVER — grep for northern/odyssey returns zero hits anywhere including config data. 22 crossactivity_dungeon_* names exist in protocol/c2s.json with no handler. Building it from the server would be INVENTION. crossactivity_ = the EVENT namespace: protocol evidence that this is an event, not a permanent system. See OQ-01/OQ-02. Read Dungeon/DungeonSeason configs instead. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E13,Minigames,Mushroom Expo,"Stalls staffed by Fellows with Sales Ability = Fellow Power x stall bonus; customers carry funds and leave satisfied only if they spend them all; picky typed customers with a same-type Fellow bonus; 10 stages unlock on day 1, then 5/day through day 7, then 3/day; daily villager visits give PASSIVE Expo EXP and Satisfaction Coins up to a cap; Hype Advertising brings Rich Patrons; two gacha machines level with use; shop combos unlock Shop Skills; Expo level unlocks more stalls","PARTIAL (5%) — 35 stalls (free claim), stages 1-5 of 100, up to 3 staffed stalls, 5 customers x 5 rounds, rating, 12 named-Fellow bonds, 100 Expo Coins per stall upgrade capped at 10. All 95 remaining stages are flagged 'Verify, Confirm'. Maturity label: early.","rule TowerDefense; TowerDefenseCustomerLevel (9,263), TowerDefenseStallLevel (5,801); SystemUnlock 99",NUMBERS,L,P3,5,Not started,"[UNCHANGED] NO SERVER IMPLEMENTATION — no module, no registered route, no traffic. But 16 simgame_towerdefense_* names and full wire schemas sit in protocol/c2s.json. NOTE THE PREFIX: simgame_* is the PERMANENT namespace (same as Inn, Farm, Fishing, Treasure) — protocol evidence that the original treated Expo as a permanent sim system, unlike Northern and Raphael. _get_hangup_info/_get_hangup_reward are the passive-income routes Everkai lists as missing. See OQ-01. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E14,Minigames,Raphael's Stage,Stamina recovers 1 per 20 min; Heat Levels reached through Support Value; 5x5 seat grid unlocked with Performance Points; fans with base support and a range bonus; support items (range bonus only); remove or upgrade fans with refunds; flowers attract fairies for temporary buffs; Wish Coins feed the Thalia gacha; rankings,"PARTIAL — 5x5 grid with 27 fans and 8 support items (max 4), exact directional scoring from public math, stamina runs of 1/10, 56 milestone rows to a locker. Maturity label: limited.","rules RaphaelStage_readme, RaphaelStage_advantageRule; SystemUnlock 102",NUMBERS,M,P3,5,Not started,"[UNCHANGED] NO SERVER IMPLEMENTATION — no module, no route, no traffic. 15 crossactivity_raphael_* names exist in protocol/c2s.json (_sit_down, _lock_fan, _reset_seat, _encourage) with no handler. crossactivity_ = EVENT namespace. Missing fairies/flowers, Thalia gacha, Performance Point economy, heat levels. All placements and levels are currently free sandbox actions. See OQ-01/OQ-02. | Re-verified in bulk 2026-09-12 against lib/system-maturity.json (counts read from the shipped modules) and a lib/ absence sweep; per-row detail not individually re-read."
E15,Meta,Daily Tasks / activity points,"A daily task list with activity stamps and chests; the source of Fame Cards, Focus Candy, Museum Earning Card, Costume Vouchers",PARTIAL by deliberate substitution — the habit journal replaces it. Maturity label: ready (78 starter tasks across 9 life areas).,SystemUnlock 40,n/a,n/a,P2,n/a,Dropped 2026-09-15 - substituted by design; residual measured,"CLOSED AS A DELIBERATE SUBSTITUTION, with the residual measured rather than waved away. The habit journal IS Everkai's daily-task list and is the core of the game, so rebuilding the original's activity-point chests would put two daily loops side by side, one of which pays you for opening the app. | THE ROW'S REAL RESIDUAL was that the original's chests are the source of four items. MEASURED 2026-09-15 by searching lib/ and app/, with a positive control first (searching 'keepsake', which I know ships, returns 3 files, so the search works): Fame Card 0 files, Museum Earning Card 0 files, Costume Voucher 0 files -- Everkai models none of them, so no faucet is missing for them. Focus Candy DOES ship, in 4 files, already sourced from Banquets, the Fountain and Roaming rather than from a login chest. So the substitution leaves nothing unreachable, which is what had to be checked before this row could close."
